source_platform,title,claim,raw_content,label,category,source_name,source_url,verdict_details,published_at,crawled_at,id
CekFakta Tempo,[Tempo] Skema Danantara Membiayai Proyek Besar Sampah jadi Listrik,Skema Danantara Membiayai Proyek Besar Sampah jadi Listrik,Skema Danantara Membiayai Proyek Besar Sampah jadi Listrik,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/lingkungan/bagaimana-pembiayaan-proyek-psel-oleh-danantara--2281854,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Skema Danantara Membiayai Proyek Besar Sampah jadi Listrik,2026-01-19 08:11:06,2026-08-15 03:06:29,11
CekFakta Tempo,[Tempo] El Niño Masih Menguat Menuju Rekor Terparah,El Niño Masih Menguat Menuju Rekor Terparah,El Niño Masih Menguat Menuju Rekor Terparah,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/lingkungan/el-ni-o-masih-menguat-menuju-rekor-terparah-2281947,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). El Niño Masih Menguat Menuju Rekor Terparah,2026-07-01 09:51:37,2026-08-15 03:06:29,12
CekFakta Tempo,[Tempo] Arsenal Vs Manchester City: Duel Baru Dua Seteru,Arsenal Vs Manchester City: Duel Baru Dua Seteru,Arsenal Vs Manchester City: Duel Baru Dua Seteru,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/sepakbola/arsenal-vs-manchester-city-duel-baru-dua-seteru-2281866,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Arsenal Vs Manchester City: Duel Baru Dua Seteru,2026-02-22 08:32:04,2026-08-15 03:06:29,13
CekFakta Tempo,"[Tempo] Mulai 2027, Korporasi Wajib Buka Data Emisi Gas Rumah Kaca","Mulai 2027, Korporasi Wajib Buka Data Emisi Gas Rumah Kaca","Mulai 2027, Korporasi Wajib Buka Data Emisi Gas Rumah Kaca",FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/lingkungan/mulai-2027-korporasi-wajib-buka-data-emisi-gas-rumah-kaca--2282046,"TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Mulai 2027, Korporasi Wajib Buka Data Emisi Gas Rumah Kaca",2026-06-22 09:46:04,2026-08-15 03:06:29,14
CekFakta Tempo,[Tempo] BNPB-PNM Dorong Warga Agam Bangkit Melalui Potensi Lokal,BNPB-PNM Dorong Warga Agam Bangkit Melalui Potensi Lokal,BNPB-PNM Dorong Warga Agam Bangkit Melalui Potensi Lokal,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/info-tempo/bnpb-pnm-dorong-warga-agam-bangkit-melalui-potensi-lokal-2282041,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). BNPB-PNM Dorong Warga Agam Bangkit Melalui Potensi Lokal,2026-02-04 08:20:58,2026-08-15 03:06:29,15
CekFakta Tempo,"[Tempo] Soal HGB STC, Walkot Pekanbaru: Keputusan Pemko Berdasarkan Hasil Konsultasi","Soal HGB STC, Walkot Pekanbaru: Keputusan Pemko Berdasarkan Hasil Konsultasi","Soal HGB STC, Walkot Pekanbaru: Keputusan Pemko Berdasarkan Hasil Konsultasi",FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/info-tempo/soal-hgb-stc-walkot-pekanbaru-keputusan-pemko-berdasarkan-hasil-konsultasi-2282042,"TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Soal HGB STC, Walkot Pekanbaru: Keputusan Pemko Berdasarkan Hasil Konsultasi",2026-06-07 09:36:49,2026-08-15 03:06:29,16
CekFakta Tempo,[Tempo] Umbu T.W. Pariangu Delapan Jam yang Melenyapkan Kemanusiaan Birokrasi,Umbu T.W. Pariangu Delapan Jam yang Melenyapkan Kemanusiaan Birokrasi,Umbu T.W. Pariangu Delapan Jam yang Melenyapkan Kemanusiaan Birokrasi,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/kolom/delapan-jam-yang-melenyapkan-kemanusiaan-birokrasi--2281870,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Umbu T.W. Pariangu Delapan Jam yang Melenyapkan Kemanusiaan Birokrasi,2026-01-14 08:08:01,2026-08-15 03:06:29,17
CekFakta Tempo,[Tempo] TempoKrisis Legitimasi Pemerintahan Prabowo,TempoKrisis Legitimasi Pemerintahan Prabowo,TempoKrisis Legitimasi Pemerintahan Prabowo,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/kolom/krisis-legitimasi-pemerintahan-prabowo-subianto-2281846,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). TempoKrisis Legitimasi Pemerintahan Prabowo,2026-03-31 08:54:53,2026-08-15 03:06:29,18
CekFakta Tempo,[Tempo] TempoCara Membaca Data Pengangguran dari Pemerintah,TempoCara Membaca Data Pengangguran dari Pemerintah,TempoCara Membaca Data Pengangguran dari Pemerintah,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/kolom/cara-membaca-data-pengangguran-dari-pemerintah-2281725,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). TempoCara Membaca Data Pengangguran dari Pemerintah,2026-04-23 09:09:04,2026-08-15 03:06:29,19
CekFakta Tempo,"[Tempo] Kembali Berkolaborasi, Bank bjb Jadi Official Banking Partner PERSIB Musim 2026","Kembali Berkolaborasi, Bank bjb Jadi Official Banking Partner PERSIB Musim 2026","Kembali Berkolaborasi, Bank bjb Jadi Official Banking Partner PERSIB Musim 2026",FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/info-tempo/kembali-berkolaborasi-bank-bjb-jadi-official-banking-partner-persib-musim-2026-2282043,"TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Kembali Berkolaborasi, Bank bjb Jadi Official Banking Partner PERSIB Musim 2026",2026-05-05 09:16:28,2026-08-15 03:06:29,20
CekFakta Tempo,[Tempo] Rosan Ungkap Progres Pusat Finansial Internasional Indonesia,Rosan Ungkap Progres Pusat Finansial Internasional Indonesia,Rosan Ungkap Progres Pusat Finansial Internasional Indonesia,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/ekonomi/rosan-ungkap-progres-pusat-finansial-internasional-indonesia-2282037,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Rosan Ungkap Progres Pusat Finansial Internasional Indonesia,2026-06-19 09:44:13,2026-08-15 03:06:29,21
CekFakta Tempo,"[Tempo] Karhutla di Mana-mana, dari Lahan Gambut hingga Sabana","Karhutla di Mana-mana, dari Lahan Gambut hingga Sabana","Karhutla di Mana-mana, dari Lahan Gambut hingga Sabana",FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/lingkungan/karhutla-di-mana-mana-dari-lahan-gambut-hingga-sabana--2281918,"TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Karhutla di Mana-mana, dari Lahan Gambut hingga Sabana",2026-06-16 09:42:22,2026-08-15 03:06:29,22
CekFakta Tempo,[Tempo] Mendikdasmen Klaim Literasi Gizi MBG Tak Menambah Beban Guru,Mendikdasmen Klaim Literasi Gizi MBG Tak Menambah Beban Guru,Mendikdasmen Klaim Literasi Gizi MBG Tak Menambah Beban Guru,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/politik/mendikdasmen-klaim-literasi-gizi-mbg-tak-menambah-beban-guru-2282025,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Mendikdasmen Klaim Literasi Gizi MBG Tak Menambah Beban Guru,2026-03-17 08:46:15,2026-08-15 03:06:29,23
CekFakta Tempo,[Tempo] Edisi Pekan IniKorek-korek Kocek Bokek Korek-korek Kocek BokekKorek-korek Kocek Bokek Akibat Proyek PresidenResentralisasi Fiskal Prabowo SubiantoSeberapa Gawat Ancaman Krisis Fiskal Menerpa Daerah Lihat Edisi Selengkapnya,Edisi Pekan IniKorek-korek Kocek Bokek Korek-korek Kocek BokekKorek-korek Kocek Bokek Akibat Proyek PresidenResentralisasi Fiskal Prabowo SubiantoSeberapa Gawat Ancaman Krisis Fiskal Menerpa Daerah Lihat Edisi Selengkapnya,Edisi Pekan IniKorek-korek Kocek Bokek Korek-korek Kocek BokekKorek-korek Kocek Bokek Akibat Proyek PresidenResentralisasi Fiskal Prabowo SubiantoSeberapa Gawat Ancaman Krisis Fiskal Menerpa Daerah Lihat Edisi Selengkapnya,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/prelude/sampul-tempo-korek-korek-kocek-bokek-2281012,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Edisi Pekan IniKorek-korek Kocek Bokek Korek-korek Kocek BokekKorek-korek Kocek Bokek Akibat Proyek PresidenResentralisasi Fiskal Prabowo SubiantoSeberapa Gawat Ancaman Krisis Fiskal Menerpa Daerah Lihat Edisi Selengkapnya,2026-07-19 10:02:43,2026-08-15 03:06:29,24
CekFakta Tempo,[Tempo] Kejaksaan Agung Tetapkan Tersangka Korupsi Skandal Pajak TPL,Kejaksaan Agung Tetapkan Tersangka Korupsi Skandal Pajak TPL,Kejaksaan Agung Tetapkan Tersangka Korupsi Skandal Pajak TPL,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/foto/arsip/kejaksaan-agung-tetapkan-tersangka-korupsi-skandal-pajak-tpl-2282000,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Kejaksaan Agung Tetapkan Tersangka Korupsi Skandal Pajak TPL,2026-06-11 09:39:17,2026-08-15 03:06:29,25
CekFakta Tempo,[Tempo] Kompetisi Ketangkasan Petugas Pemadam Kebakaran Jakarta,Kompetisi Ketangkasan Petugas Pemadam Kebakaran Jakarta,Kompetisi Ketangkasan Petugas Pemadam Kebakaran Jakarta,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/foto/arsip/kompetisi-ketangkasan-petugas-pemadam-kebakaran-jakarta-2281711,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Kompetisi Ketangkasan Petugas Pemadam Kebakaran Jakarta,2026-06-25 09:47:55,2026-08-15 03:06:29,26
CekFakta Tempo,[Tempo] Bocor Alus Politik Bertemu Joko Widodo,Bocor Alus Politik Bertemu Joko Widodo,Bocor Alus Politik Bertemu Joko Widodo,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/foto/arsip/bocor-alus-politik-bertemu-joko-widodo-2281708,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Bocor Alus Politik Bertemu Joko Widodo,2026-01-08 08:04:19,2026-08-15 03:06:29,27
CekFakta Tempo,[Tempo] Mengapa Radius Bahaya di Gunung Sinabung Bertambah,Mengapa Radius Bahaya di Gunung Sinabung Bertambah,Mengapa Radius Bahaya di Gunung Sinabung Bertambah,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/lingkungan/mengapa-radius-bahaya-di-gunung-sinabung-bertambah-2282055,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Mengapa Radius Bahaya di Gunung Sinabung Bertambah,2026-04-06 08:58:35,2026-08-15 03:06:29,28
CekFakta Tempo,[Tempo] Perusahaan Jasa Angkut Sampah ke TPS Liar Didenda Rp 10 Juta,Perusahaan Jasa Angkut Sampah ke TPS Liar Didenda Rp 10 Juta,Perusahaan Jasa Angkut Sampah ke TPS Liar Didenda Rp 10 Juta,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/lingkungan/perusahaan-jasa-angkut-sampah-ke-tps-liar-didenda-rp-10-juta-2282032,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Perusahaan Jasa Angkut Sampah ke TPS Liar Didenda Rp 10 Juta,2026-02-10 08:24:40,2026-08-15 03:06:29,29
CekFakta Tempo,"[Tempo] Recreate Makeup Naykilla ala Nycta Gina dan Putrinya Trinycta, Nostalgia Jeng Kelin","Recreate Makeup Naykilla ala Nycta Gina dan Putrinya Trinycta, Nostalgia Jeng Kelin","Recreate Makeup Naykilla ala Nycta Gina dan Putrinya Trinycta, Nostalgia Jeng Kelin",FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://www.cantika.com/read/2117532/recreate-makeup-naykilla-ala-nycta-gina-dan-putrinya-trinycta-nostalgia-jeng-kelin,"TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Recreate Makeup Naykilla ala Nycta Gina dan Putrinya Trinycta, Nostalgia Jeng Kelin",2026-03-17 08:46:15,2026-08-15 03:06:29,30
CekFakta Tempo,[Tempo] Oceania Backs Infantino as New Zealand Breaks Ranks,Oceania Backs Infantino as New Zealand Breaks Ranks,Oceania Backs Infantino as New Zealand Breaks Ranks,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://en.tempo.co/read/2117544/oceania-backs-infantino-as-new-zealand-breaks-ranks,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Oceania Backs Infantino as New Zealand Breaks Ranks,2026-08-12 10:17:31,2026-08-15 03:06:29,31
CekFakta Tempo,[Tempo] Usia 70 Tahun: Saatnya Menjadi Diri Sendiri,Usia 70 Tahun: Saatnya Menjadi Diri Sendiri,Usia 70 Tahun: Saatnya Menjadi Diri Sendiri,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://www.indonesiana.id/read/198870/usia-70-tahun-saatnya-menjadi-diri-sendiri,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Usia 70 Tahun: Saatnya Menjadi Diri Sendiri,2026-03-21 08:48:43,2026-08-15 03:06:29,32
CekFakta Tempo,[Tempo] Melacak Mitos Presiden Takut ke Kediri,Melacak Mitos Presiden Takut ke Kediri,Melacak Mitos Presiden Takut ke Kediri,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://www.teras.id/kediripedia-com/rubrik/jeda/melacak-mitos-presiden-takut-ke-kediri-2279159,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Melacak Mitos Presiden Takut ke Kediri,2026-04-23 09:09:04,2026-08-15 03:06:29,33
CekFakta Tempo,"[Tempo] Di Papua, Pemangkasan Dana Desa Memicu Amuk Kepala KampungPemangkasan anggaran dana desa memicu kemarahan warga Ilaga. Tak ada partisipasi bermakna.","Di Papua, Pemangkasan Dana Desa Memicu Amuk Kepala KampungPemangkasan anggaran dana desa memicu kemarahan warga Ilaga. Tak ada partisipasi bermakna.","Di Papua, Pemangkasan Dana Desa Memicu Amuk Kepala Kampung",FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/politik/di-papua-pemangkasan-dana-desa-memicu-amuk-kepala-kampung-2281855,"TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Di Papua, Pemangkasan Dana Desa Memicu Amuk Kepala Kampung",2026-07-13 09:59:01,2026-08-15 03:06:29,34
CekFakta Tempo,[Tempo] Pakar: Usul Prabowo soal Amnesti Pejabat BUMN Berbahaya,Pakar: Usul Prabowo soal Amnesti Pejabat BUMN Berbahaya,Pakar: Usul Prabowo soal Amnesti Pejabat BUMN Berbahaya,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/politik/pakar-usul-prabowo-soal-amnesti-pejabat-bumn-berbahaya-2282031,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Pakar: Usul Prabowo soal Amnesti Pejabat BUMN Berbahaya,2026-05-27 09:30:02,2026-08-15 03:06:29,35
CekFakta Tempo,[Tempo] DPR Bakal Bahas RUU Pemilu Mulai Pekan Depan,DPR Bakal Bahas RUU Pemilu Mulai Pekan Depan,DPR Bakal Bahas RUU Pemilu Mulai Pekan Depan,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/politik/dpr-bakal-bahas-ruu-pemilu-mulai-pekan-depan-2282029,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). DPR Bakal Bahas RUU Pemilu Mulai Pekan Depan,2026-07-22 10:04:34,2026-08-15 03:06:29,36
CekFakta Tempo,"[Tempo] Kematian Anak dan Remaja Karena Kecelakaan MeningkatSeorang siswa tewas tertabrak kereta di stasiun Jurang Mangu, Banten. Alarm bagi perlindungan anak dan remaja.","Kematian Anak dan Remaja Karena Kecelakaan MeningkatSeorang siswa tewas tertabrak kereta di stasiun Jurang Mangu, Banten. Alarm bagi perlindungan anak dan remaja.",Kematian Anak dan Remaja Karena Kecelakaan Meningkat,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/hukum/kematian-anak-dan-remaja-karena-kecelakaan-meningkat-2281888,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Kematian Anak dan Remaja Karena Kecelakaan Meningkat,2026-03-17 08:46:15,2026-08-15 03:06:29,37
CekFakta Tempo,[Tempo] KPK Periksa Lagi Ketua DPRD Kuansing,KPK Periksa Lagi Ketua DPRD Kuansing,KPK Periksa Lagi Ketua DPRD Kuansing,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/hukum/kpk-periksa-lagi-ketua-dprd-kuansing-2282030,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). KPK Periksa Lagi Ketua DPRD Kuansing,2026-01-06 08:03:05,2026-08-15 03:06:29,38
CekFakta Tempo,[Tempo] Sindikat Judi Online Putarkan Rp 890 Miliar Lewat Pulsa,Sindikat Judi Online Putarkan Rp 890 Miliar Lewat Pulsa,Sindikat Judi Online Putarkan Rp 890 Miliar Lewat Pulsa,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/hukum/sindikat-judi-online-putarkan-rp-890-miliar-lewat-pulsa-2282016,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Sindikat Judi Online Putarkan Rp 890 Miliar Lewat Pulsa,2026-03-17 08:46:15,2026-08-15 03:06:29,39
CekFakta Tempo,[Tempo] Operasi Pagi di Kampung Bahari,Operasi Pagi di Kampung Bahari,Operasi Pagi di Kampung Bahari,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/hukum/operasi-pagi-di-kampung-bahari-2282010,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Operasi Pagi di Kampung Bahari,2026-08-10 10:16:17,2026-08-15 03:06:29,40
CekFakta Tempo,[Tempo] Presiden Prabowo Resmikan 3.395 Jembatan Buatan TNI-Polri,Presiden Prabowo Resmikan 3.395 Jembatan Buatan TNI-Polri,Presiden Prabowo Resmikan 3.395 Jembatan Buatan TNI-Polri,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/video/arsip/presiden-prabowo-resmikan-3-395-jembatan-buatan-tni-polri-2282053,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Presiden Prabowo Resmikan 3.395 Jembatan Buatan TNI-Polri,2026-03-16 08:45:38,2026-08-15 03:06:29,41
CekFakta Tempo,[Tempo] Kenapa Pukulan pada Kepala Bagian Belakang Bisa Menyebabkan Cedera Otak,Kenapa Pukulan pada Kepala Bagian Belakang Bisa Menyebabkan Cedera Otak,Kenapa Pukulan pada Kepala Bagian Belakang Bisa Menyebabkan Cedera Otak,FAKTA,Tempo - Dunia internasional,Tempo CekFakta,https://cekfakta.tempo.co/video/arsip/kenapa-pukulan-pada-kepala-bagian-belakang-bisa-menyebabkan-cedera-otak-2282011,TERVERIFIKASI FAKTA / KLARIFIKASI. Laporan resmi investigasi & jurnalisme Tempo.co (Dunia Internasional). Kenapa Pukulan pada Kepala Bagian Belakang Bisa Menyebabkan Cedera Otak,2026-07-07 09:55:19,2026-08-15 03:06:29,42
