id,source_platform,original_title,raw_text,cleaned_text,tokens,token_count_before,token_count_after,reduction_percentage,label,category,source_url,published_at,label_text,label_num
21,CekFakta Tempo,[Tempo] Rosan Ungkap Progres Pusat Finansial Internasional Indonesia,[Tempo] Rosan Ungkap Progres Pusat Finansial Internasional Indonesia Rosan Ungkap Progres Pusat Finansial Internasional Indonesia Rosan Ungkap Progres Pusat Finansial Internasional Indonesia,tempo rosan ungkap progres pusat finansial internasional indonesia rosan ungkap progres pusat finansial internasional indonesia rosan ungkap progres pusat finansial internasional indonesia,"tempo,rosan,ungkap,progres,pusat,finansial,internasional,indonesia,rosan,ungkap,progres,pusat,finansial,internasional,indonesia,rosan,ungkap,progres,pusat,finansial,internasional,indonesia",22,22,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/ekonomi/rosan-ungkap-progres-pusat-finansial-internasional-indonesia-2282037,2026-06-19 09:44:13,FAKTA,0
22,CekFakta Tempo,"[Tempo] Karhutla di Mana-mana, dari Lahan Gambut hingga Sabana","[Tempo] Karhutla di Mana-mana, dari Lahan Gambut hingga Sabana Karhutla di Mana-mana, dari Lahan Gambut hingga Sabana Karhutla di Mana-mana, dari Lahan Gambut hingga Sabana",tempo karhutla lahan gambut hingga sabana karhutla lahan gambut hingga sabana karhutla lahan gambut hingga sabana,"tempo,karhutla,lahan,gambut,hingga,sabana,karhutla,lahan,gambut,hingga,sabana,karhutla,lahan,gambut,hingga,sabana",25,16,36.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/lingkungan/karhutla-di-mana-mana-dari-lahan-gambut-hingga-sabana--2281918,2026-06-16 09:42:22,FAKTA,0
23,CekFakta Tempo,[Tempo] Mendikdasmen Klaim Literasi Gizi MBG Tak Menambah Beban Guru,[Tempo] Mendikdasmen Klaim Literasi Gizi MBG Tak Menambah Beban Guru Mendikdasmen Klaim Literasi Gizi MBG Tak Menambah Beban Guru Mendikdasmen Klaim Literasi Gizi MBG Tak Menambah Beban Guru,tempo mendikdasmen klaim literasi gizi mbg tak menambah beban guru mendikdasmen klaim literasi gizi mbg tak menambah beban guru mendikdasmen klaim literasi gizi mbg tak menambah beban guru,"tempo,mendikdasmen,klaim,literasi,gizi,mbg,tak,menambah,beban,guru,mendikdasmen,klaim,literasi,gizi,mbg,tak,menambah,beban,guru,mendikdasmen,klaim,literasi,gizi,mbg,tak,menambah,beban,guru",28,28,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/politik/mendikdasmen-klaim-literasi-gizi-mbg-tak-menambah-beban-guru-2282025,2026-03-17 08:46:15,FAKTA,0
24,CekFakta Tempo,[Tempo] Edisi Pekan IniKorek-korek Kocek Bokek Korek-korek Kocek BokekKorek-korek Kocek Bokek Akibat Proyek PresidenResentralisasi Fiskal Prabowo SubiantoSeberapa Gawat Ancaman Krisis Fiskal Menerpa Daerah Lihat Edisi Selengkapnya,[Tempo] Edisi Pekan IniKorek-korek Kocek Bokek Korek-korek Kocek BokekKorek-korek Kocek Bokek Akibat Proyek PresidenResentralisasi Fiskal Prabowo SubiantoSeberapa Gawat Ancaman Krisis Fiskal Menerpa Daerah Lihat Edisi Selengkapnya Edisi Pekan IniKorek-korek Kocek Bokek Korek-korek Kocek BokekKorek-korek Kocek Bokek Akibat Proyek PresidenResentralisasi Fiskal Prabowo SubiantoSeberapa Gawat Ancaman Krisis Fiskal Menerpa Daerah Lihat Edisi Selengkapnya Edisi Pekan IniKorek-korek Kocek Bokek Korek-korek Kocek BokekKorek-korek Kocek Bokek Akibat Proyek PresidenResentralisasi Fiskal Prabowo SubiantoSeberapa Gawat Ancaman Krisis Fiskal Menerpa Daerah Lihat Edisi Selengkapnya,tempo edisi pekan inikorek korek kocek bokek korek korek kocek bokekkorek korek kocek bokek akibat proyek presidenresentralisasi fiskal prabowo subiantoseberapa gawat ancaman krisis fiskal mene rupiah daerah lihat edisi selengkapnya edisi pekan inikorek korek kocek bokek korek korek kocek bokekkorek korek kocek bokek akibat proyek presidenresentralisasi fiskal prabowo subiantoseberapa gawat ancaman krisis fiskal mene rupiah daerah lihat edisi selengkapnya edisi pekan inikorek korek kocek bokek korek korek kocek bokekkorek korek kocek bokek akibat proyek presidenresentralisasi fiskal prabowo subiantoseberapa gawat ancaman krisis fiskal mene rupiah daerah lihat edisi selengkapnya,"tempo,edisi,pekan,inikorek,korek,kocek,bokek,korek,korek,kocek,bokekkorek,korek,kocek,bokek,akibat,proyek,presidenresentralisasi,fiskal,prabowo,subiantoseberapa,gawat,ancaman,krisis,fiskal,mene,rupiah,daerah,lihat,edisi,selengkapnya,edisi,pekan,inikorek,korek,kocek,bokek,korek,korek,kocek,bokekkorek,korek,kocek,bokek,akibat,proyek,presidenresentralisasi,fiskal,prabowo,subiantoseberapa,gawat,ancaman,krisis,fiskal,mene,rupiah,daerah,lihat,edisi,selengkapnya,edisi,pekan,inikorek,korek,kocek,bokek,korek,korek,kocek,bokekkorek,korek,kocek,bokek,akibat,proyek,presidenresentralisasi,fiskal,prabowo,subiantoseberapa,gawat,ancaman,krisis,fiskal,mene,rupiah,daerah,lihat,edisi,selengkapnya",76,88,-15.8,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/prelude/sampul-tempo-korek-korek-kocek-bokek-2281012,2026-07-19 10:02:43,FAKTA,0
25,CekFakta Tempo,[Tempo] Kejaksaan Agung Tetapkan Tersangka Korupsi Skandal Pajak TPL,[Tempo] Kejaksaan Agung Tetapkan Tersangka Korupsi Skandal Pajak TPL Kejaksaan Agung Tetapkan Tersangka Korupsi Skandal Pajak TPL Kejaksaan Agung Tetapkan Tersangka Korupsi Skandal Pajak TPL,tempo kejaksaan agung tetapkan tersangka korupsi skandal pajak tpl kejaksaan agung tetapkan tersangka korupsi skandal pajak tpl kejaksaan agung tetapkan tersangka korupsi skandal pajak tpl,"tempo,kejaksaan,agung,tetapkan,tersangka,korupsi,skandal,pajak,tpl,kejaksaan,agung,tetapkan,tersangka,korupsi,skandal,pajak,tpl,kejaksaan,agung,tetapkan,tersangka,korupsi,skandal,pajak,tpl",25,25,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/foto/arsip/kejaksaan-agung-tetapkan-tersangka-korupsi-skandal-pajak-tpl-2282000,2026-06-11 09:39:17,FAKTA,0
26,CekFakta Tempo,[Tempo] Kompetisi Ketangkasan Petugas Pemadam Kebakaran Jakarta,[Tempo] Kompetisi Ketangkasan Petugas Pemadam Kebakaran Jakarta Kompetisi Ketangkasan Petugas Pemadam Kebakaran Jakarta Kompetisi Ketangkasan Petugas Pemadam Kebakaran Jakarta,tempo kompetisi ketangkasan petugas pemadam kebakaran jakarta kompetisi ketangkasan petugas pemadam kebakaran jakarta kompetisi ketangkasan petugas pemadam kebakaran jakarta,"tempo,kompetisi,ketangkasan,petugas,pemadam,kebakaran,jakarta,kompetisi,ketangkasan,petugas,pemadam,kebakaran,jakarta,kompetisi,ketangkasan,petugas,pemadam,kebakaran,jakarta",19,19,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/foto/arsip/kompetisi-ketangkasan-petugas-pemadam-kebakaran-jakarta-2281711,2026-06-25 09:47:55,FAKTA,0
27,CekFakta Tempo,[Tempo] Bocor Alus Politik Bertemu Joko Widodo,[Tempo] Bocor Alus Politik Bertemu Joko Widodo Bocor Alus Politik Bertemu Joko Widodo Bocor Alus Politik Bertemu Joko Widodo,tempo bocor alus politik bertemu joko widodo bocor alus politik bertemu joko widodo bocor alus politik bertemu joko widodo,"tempo,bocor,alus,politik,bertemu,joko,widodo,bocor,alus,politik,bertemu,joko,widodo,bocor,alus,politik,bertemu,joko,widodo",19,19,0.0,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/foto/arsip/bocor-alus-politik-bertemu-joko-widodo-2281708,2026-01-08 08:04:19,FAKTA,0
28,CekFakta Tempo,[Tempo] Mengapa Radius Bahaya di Gunung Sinabung Bertambah,[Tempo] Mengapa Radius Bahaya di Gunung Sinabung Bertambah Mengapa Radius Bahaya di Gunung Sinabung Bertambah Mengapa Radius Bahaya di Gunung Sinabung Bertambah,tempo radius bahaya gunung sinabung bertambah radius bahaya gunung sinabung bertambah radius bahaya gunung sinabung bertambah,"tempo,radius,bahaya,gunung,sinabung,bertambah,radius,bahaya,gunung,sinabung,bertambah,radius,bahaya,gunung,sinabung,bertambah",22,16,27.3,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/lingkungan/mengapa-radius-bahaya-di-gunung-sinabung-bertambah-2282055,2026-04-06 08:58:35,FAKTA,0
29,CekFakta Tempo,[Tempo] Perusahaan Jasa Angkut Sampah ke TPS Liar Didenda Rp 10 Juta,[Tempo] Perusahaan Jasa Angkut Sampah ke TPS Liar Didenda Rp 10 Juta Perusahaan Jasa Angkut Sampah ke TPS Liar Didenda Rp 10 Juta Perusahaan Jasa Angkut Sampah ke TPS Liar Didenda Rp 10 Juta,tempo perusahaan jasa angkut sampah tps liar didenda rupiah 10 juta perusahaan jasa angkut sampah tps liar didenda rupiah 10 juta perusahaan jasa angkut sampah tps liar didenda rupiah 10 juta,"tempo,perusahaan,jasa,angkut,sampah,tps,liar,didenda,rupiah,10,juta,perusahaan,jasa,angkut,sampah,tps,liar,didenda,rupiah,10,juta,perusahaan,jasa,angkut,sampah,tps,liar,didenda,rupiah,10,juta",34,31,8.8,FAKTA,Tempo - Dunia internasional,https://cekfakta.tempo.co/lingkungan/perusahaan-jasa-angkut-sampah-ke-tps-liar-didenda-rp-10-juta-2282032,2026-02-10 08:24:40,FAKTA,0
30,CekFakta Tempo,"[Tempo] Recreate Makeup Naykilla ala Nycta Gina dan Putrinya Trinycta, Nostalgia Jeng Kelin","[Tempo] Recreate Makeup Naykilla ala Nycta Gina dan Putrinya Trinycta, Nostalgia Jeng Kelin Recreate Makeup Naykilla ala Nycta Gina dan Putrinya Trinycta, Nostalgia Jeng Kelin Recreate Makeup Naykilla ala Nycta Gina dan Putrinya Trinycta, Nostalgia Jeng Kelin",tempo recreate makeup naykilla ala nycta gina putrinya trinycta nostalgia jeng kelin recreate makeup naykilla ala nycta gina putrinya trinycta nostalgia jeng kelin recreate makeup naykilla ala nycta gina putrinya trinycta nostalgia jeng kelin,"tempo,recreate,makeup,naykilla,ala,nycta,gina,putrinya,trinycta,nostalgia,jeng,kelin,recreate,makeup,naykilla,ala,nycta,gina,putrinya,trinycta,nostalgia,jeng,kelin,recreate,makeup,naykilla,ala,nycta,gina,putrinya,trinycta,nostalgia,jeng,kelin",37,34,8.1,FAKTA,Tempo - Dunia internasional,https://www.cantika.com/read/2117532/recreate-makeup-naykilla-ala-nycta-gina-dan-putrinya-trinycta-nostalgia-jeng-kelin,2026-03-17 08:46:15,FAKTA,0
